
above,↑,←,0,-,-,above,-,-
aboveCenter,↑,↔,0,-,-,above,center,-
aboveRight,↑,→,0,-,-,above,right,-
snugAbove,↑,←,-1,snug,-,above,-,-
snugAboveCenter,↑,↔,-1,snug,-,above,center,-
snugAboveRight,↑,→,-1,snug,-,above,right,-
aboveGap,↑,←,•,-,-,above,-,gap
aboveCenterGap,↑,↔,•,-,-,above,center,gap
aboveRightGap,↑,→,•,-,-,above,right,gap
alignAbove,↑,•,0,-,align,above,-,-
snugAlignAbove,↑,•,-1,snug,align,above,-,-
alignAboveGap,↑,•,•,-,align,above,-,gap
below,↓,←,0,-,-,below,-,-
belowCenter,↓,↔,0,-,-,below,center,-
belowRight,↓,→,0,-,-,below,right,-
snugBelow,↓,←,-1,snug,-,below,-,-
snugBelowCenter,↓,↔,-1,snug,-,below,center,-
snugBelowRight,↓,→,-1,snug,-,below,right,-
belowGap,↓,←,•,-,-,below,-,gap
belowCenterGap,↓,↔,•,-,-,below,center,gap
belowRightGap,↓,→,•,-,-,below,right,gap
alignBelow,↓,•,0,-,align,below,-,-
snugAlignBelow,↓,•,-1,snug,align,below,-,-
alignBelowGap,↓,•,•,-,align,below,gap,-
leftOfTop,←,↑,0,-,-,leftOf,top,-
leftOfMiddle,←,↔,0,-,-,leftOf,middle,-
leftOf,←,↓,0,-,-,leftOf,-,-
snugLeftOfTop,←,↑,-1,snug,-,leftOf,top,-
snugLeftOfMiddle,←,↔,-1,snug,-,leftOf,middle,-
snugLeftOf,←,↓,-1,snug,-,leftOf,-,-
leftOfTopGap,←,↑,•,-,-,leftOf,top,gap
leftOfMiddleGap,←,↔,•,-,-,leftOf,middle,gap
leftOfGap,←,↓,•,-,-,leftOf,-,gap
alignLeftOf,←,•,-1,-,align,leftOf,-,-
snugAlignLeftOf,←,•,-1,snug,align,leftOf,-,-
alignLeftOfGap,←,•,•,-,align,leftOf,gap,-
rightOfTop,→,↑,-1,-,-,rightOf,top,-
rightOfMiddle,→,↔,-1,-,-,rightOf,middle,-
rightOf,→,↓,-1,-,-,rightOf,-,-
snugRightOfTop,→,↑,-1,snug,-,rightOf,top,-
snugRightOfMiddle,→,↔,-1,snug,-,rightOf,middle,-
snugRightOf,→,↓,-1,snug,-,rightOf,-,-
rightOfTopGap,→,↑,•,-,-,rightOf,top,gap
rightOfMiddleGap,→,↔,•,-,-,rightOf,middle,gap
rightOfGap,→,↓,•,-,-,rightOf,-,gap
alignRightOf,→,•,-1,-,align,rightOf,-,-
snugAlignRightOf,→,•,-1,snug,align,rightOf,-,-
alignRightOfGap,→,•,•,-,align,rightOf,-,gap
